Rank ,restaurant_name,restaurant_url,restaurant_neighborhood,ratings,review_number,price,kind_of_cuisine,City
1,Home Slice Pizza,https://www.yelp.com/biz/home-slice-pizza-austin?osq=Pizza,"Austin, TX 78704",4.4," 4,600 ",$$ ,"Pizza, Sandwiches",Austin
2,Little Deli & Pizzeria,https://www.yelp.com/biz/little-deli-and-pizzeria-austin?osq=Pizza,Unit A,4.5," 1,490 ",$ ,"Delis, Pizza, Sandwiches",Austin
3,Pinthouse Pizza,https://www.yelp.com/biz/pinthouse-pizza-austin?osq=Pizza,"Austin, TX 78756",4.2," 1,267 ",$$ ,"Pizza, Brewpubs",Austin
4,Via 313 Pizza,https://www.yelp.com/biz/via-313-pizza-austin-13?osq=Pizza,Ste 503,4.4," 1,031 ",$$ ,"Pizza, American (New)",Austin
5,DeSano Pizzeria Napoletana,https://www.yelp.com/biz/desano-pizzeria-napoletana-austin-3?osq=Pizza,Overall rating,4.5, 988 ,$$ ,"Pizza, Italian",Austin
6,Patrizi's,https://www.yelp.com/biz/patrizis-austin?osq=Pizza,The Kebab Shop,4.4, 977 ,$$ ,Italian,Austin
7,Pinthouse Pizza,https://www.yelp.com/biz/pinthouse-pizza-austin-2?osq=Pizza,Deep Eddy Vodka Tasting Room,4.5, 902 ,$$ ,"Pizza, Brewpubs",Austin
8,Via 313 Pizza,https://www.yelp.com/biz/via-313-pizza-austin-14?osq=Pizza,"Austin, TX 78748",4.4, 884 ,$$ ,"Pizza, Food Trucks",Austin
9,Via 313 Pizza,https://www.yelp.com/biz/via-313-pizza-austin-austin?osq=Pizza,"Austin, TX 78705",4.5, 795 ,$$ ,Pizza,Austin
10,Home Slice Pizza,https://www.yelp.com/biz/home-slice-pizza-austin-9?osq=Pizza,The Kebab Shop,4.5, 764 ,$$ ,"Pizza, Sandwiches",Austin
1,Pequod's Pizzeria,https://www.yelp.com/biz/pequods-pizzeria-chicago?osq=Pizza,"Chicago, IL 60614",3.9," 7,743 ",$$ ,Pizza,Chicago
2,Lou Malnati's Pizzeria,https://www.yelp.com/biz/lou-malnatis-pizzeria-chicago?osq=Pizza,"Chicago, IL 60654",4.1," 7,194 ",$$ ,"Pizza, Italian, Sandwiches",Chicago
3,Piece Brewery and Pizzeria,https://www.yelp.com/biz/piece-brewery-and-pizzeria-chicago?osq=Pizza,"Chicago, IL 60622",4," 3,839 ",$$ ,"Pizza, Breweries",Chicago
4,Giordano's,https://www.yelp.com/biz/giordanos-chicago-30?osq=Pizza,"Chicago, IL 60601",3.9," 3,616 ",$$ ,"Pizza, Salad, Italian",Chicago
5,Giordano's,https://www.yelp.com/biz/giordanos-chicago-9?osq=Pizza,"Chicago, IL 60611",3.7," 3,093 ",$$ ,"Pizza, Italian, Bars",Chicago
6,Lou Malnati's Pizzeria,https://www.yelp.com/biz/lou-malnatis-pizzeria-chicago-9?osq=Pizza,"Chicago, IL 60605",4," 3,065 ",$$ ,"Pizza, Italian",Chicago
7,Chicago Pizza And Oven Grinder Company,https://www.yelp.com/biz/chicago-pizza-and-oven-grinder-company-chicago?osq=Pizza,"Chicago, IL 60614",4.1," 2,987 ",Unclaimed ,"Pizza, Italian, Bars",Chicago
8,Gino's East - Magnificent Mile,https://www.yelp.com/biz/ginos-east-magnificent-mile-chicago?osq=Pizza,"Chicago, IL 60611",3.6," 2,726 ",$$ ,"Pizza, Italian",Chicago
9,Spacca Napoli,https://www.yelp.com/biz/spacca-napoli-chicago?osq=Pizza,"Chicago, IL 60640",4.2," 1,805 ",$$ ,"Pizza, Italian",Chicago
10,Lou Malnati's Pizzeria,https://www.yelp.com/biz/lou-malnatis-pizzeria-chicago-8?osq=Pizza,"Chicago, IL 60610",4," 1,751 ",$$ ,"Bars, Pizza, Italian",Chicago
1,Bestia,https://www.yelp.com/biz/bestia-los-angeles?osq=Pizza,"Los Angeles, CA 90021",4.3," 7,509 ",$$$ ,"Italian, Cocktail Bars, Pizza",Los Angeles
2,Pizzeria Mozza,https://www.yelp.com/biz/pizzeria-mozza-los-angeles-4?osq=Pizza,"Los Angeles, CA 90036",4," 4,602 ",$$ ,Pizza,Los Angeles
3,L'Antica Pizzeria Da Michele,https://www.yelp.com/biz/l-antica-pizzeria-da-michele-los-angeles-2?osq=Pizza,"Los Angeles, CA 90028",4.3," 1,981 ",$$$ ,"Pizza, Italian, Breakfast & Brunch",Los Angeles
4,DeSano Pizza Bakery,https://www.yelp.com/biz/desano-pizza-bakery-los-angeles?osq=Pizza,"Los Angeles, CA 90029",4.4," 1,709 ",$$ ,"Pizza, Italian",Los Angeles
